case_id,case_arrival,burn_in_period,case_arrival_dt,case_assigned,resource,case_topic,initial_delay,est_NPS_priority,est_NPS,est_throughput_time,event_no,activity,activity_start,activity_end,activity_start_dt,activity_end_dt,activity_start_delay,activity_end_delay,duration,duration_delayed,case_status,F_priority_scheme,F_number_of_agents,seed,simulated_NPS,simulated_NPS_priority,simulated_throughput_time
2,1.2967509109346838,False,07/02/2018 07:07:19,1.3020833333333355,2,0,0.036589089065316216,1.0149622269799998,8.51496222698,1.1853948728479524,2,Interaction,1.6501004533854182,1.9162303717035738,01/02/2018 15:36:08,01/02/2018 21:59:22,0.0,0,0.2661299183181556,0.0,closed,NPS,7,42,9,1.193600938417747,2.3795753526391836
2,1.2967509109346838,False,07/02/2018 07:07:19,1.3020833333333355,2,0,0.036589089065316216,1.0149622269799998,8.51496222698,1.1853948728479524,1,Interaction,1.33334,1.6501004533854182,01/02/2018 08:00:00,01/02/2018 15:36:08,0.031256666666664545,0,0.3167604533854183,0.031256666666664545,closed,NPS,7,42,9,1.193600938417747,2.3795753526391836
2,1.2967509109346838,False,07/02/2018 07:07:19,1.3020833333333355,2,0,0.036589089065316216,1.0149622269799998,8.51496222698,1.1853948728479524,3,Interaction,2.33334,2.6891775551079404,01/03/2018 08:00:00,01/03/2018 16:32:24,0.4171096282964262,0,0.3558375551079401,0.4171096282964262,closed,NPS,7,42,9,1.193600938417747,2.3795753526391836
3,1.4622464837406306,False,07/02/2018 11:05:38,1.4687500000000033,3,2,0.0065035162593727325,0.9902550654999995,8.4902550655,1.5382574665170585,6,END,4.33334,4.717749557198415,01/05/2018 08:00:00,01/05/2018 17:13:33,0.2549681868277614,0,0.3844095571984148,0.2549681868277614,closed,NPS,7,42,9,1.9481466313542501,3.2555030734577843
3,1.4622464837406306,False,07/02/2018 11:05:38,1.4687500000000033,3,2,0.0065035162593727325,0.9902550654999995,8.4902550655,1.5382574665170585,1,Interaction,1.4687500000000033,1.8521257427140165,01/02/2018 11:15:00,01/02/2018 20:27:03,0.0,0,0.3833757427140131,0.0,closed,NPS,7,42,9,1.9481466313542501,3.2555030734577843
3,1.4622464837406306,False,07/02/2018 11:05:38,1.4687500000000033,3,2,0.0065035162593727325,0.9902550654999995,8.4902550655,1.5382574665170585,2,Interaction,2.33334,2.726381542704029,01/03/2018 08:00:00,01/03/2018 17:25:59,0.4812142572859835,0,0.3930415427040291,0.4812142572859835,closed,NPS,7,42,9,1.9481466313542501,3.2555030734577843
3,1.4622464837406306,False,07/02/2018 11:05:38,1.4687500000000033,3,2,0.0065035162593727325,0.9902550654999995,8.4902550655,1.5382574665170585,3,Email,2.726381542704029,3.1362745404764074,01/03/2018 17:25:59,01/04/2018 03:16:14,0.0,0,0.40989299777237836,0.0,closed,NPS,7,42,9,1.9481466313542501,3.2555030734577843
3,1.4622464837406306,False,07/02/2018 11:05:38,1.4687500000000033,3,2,0.0065035162593727325,0.9902550654999995,8.4902550655,1.5382574665170585,4,Email,3.33334,3.6918308500397545,01/04/2018 08:00:00,01/04/2018 16:36:14,0.1970654595235926,0,0.3584908500397544,0.1970654595235926,closed,NPS,7,42,9,1.9481466313542501,3.2555030734577843
3,1.4622464837406306,False,07/02/2018 11:05:38,1.4687500000000033,3,2,0.0065035162593727325,0.9902550654999995,8.4902550655,1.5382574665170585,5,Email,3.6918308500397545,4.078371813172239,01/04/2018 16:36:14,01/05/2018 01:52:51,0.0,0,0.3865409631324839,0.0,closed,NPS,7,42,9,1.9481466313542501,3.2555030734577843
4,1.5728625521467208,False,07/02/2018 13:44:55,1.5729166666666707,4,3,5.411451994996597e-05,0.9779014847600003,8.47790148476,1.7522932872119432,4,END,3.666479460177155,3.9920886726644222,01/04/2018 15:59:43,01/04/2018 23:48:36,0.0,0,0.32560921248726726,0.0,closed,NPS,7,42,6,1.4994934760814562,2.4192261205177017
